id	materia	dia	horario	aula	comentarios
1	instituciones de derecho privado	Martes	19	206	
2	teorica y tecnica impositiva I	Lunes	19	108	
3	finanzas publicas	Lunes	19	210	
4	teorica y tecnica impositiva I	Lunes	19	103	
5	seminario (giarrizo)	Lunes	19	115	
6	comercializacion	Lunes	17	466	
7	Seminario internacional y aplicaciones (giarrizo)	Lunes	17	303	
8	Topicos de Microeconomia	Lunes	17	460	euge
9	macroeconomia y politica economica	Lunes	15	34	
10	Regimen Tributario	Lunes	17	450	
11	Contabilidad Patrimonial	Lunes	19	104	
12	Administracion de la Salud	Martes	19	440	
13	Derecho Economico I	Martes	19	444	
14	Finanzas Publicas	Martes	19	450	
15	Gestion y Costos	Martes	17	454	
16	Auditoria	Martes	17	430	
17	Administracion Financiera	Martes	13	454	
18	Seminario Contador	Martes	13	432	
19	Derecho Economico II	Martes	11	458	
20	Estructura Social Argentina	Martes	11	456	
21	Derecho Economico I	Martes	13	410	
22	Sistemas Administrativos	Martes	13	443	
23	Matematica para economistas	Martes	13	450	
24	sociologia de las organizaciones	Martes	13	459	
25	Planeamiento Largo Plazo	Lunes	15	23	
26	gestion y costos	Miercoles	19	436	
27	impuestos II	Miercoles	19	440	
28	tecnologia de la informacion	Miercoles	19	447	
29	contabilidad superior para administradores financieros	Miercoles	19	432	curso posgrado
30	Seminario Administracion	Miercoles	17	453	
31	Tecnica Impositiva II	Miercoles	17	460	El aula es 46X, no se cual del sexto piso
32	Macroeconomia y politica economica	Miercoles	15	440	? aula?
33	Gestion y Costos	Miercoles	15	410	
34	Direccion General (administracion)	Miercoles	19	438	
35	teoria y tecnica impositiva II	Miercoles	17	442	
36	macroeconomia y politica economica	Miercoles	17	456	
37	matematica para economistas	Miercoles	17	469	
38	Teoria actuarial I	Miercoles	17	460	
39	gestion y costos	Jueves	17	410	
40	cuentas nacionales	Jueves	11	3	pickup
41	contabilidad Patrimonial	Jueves	11	205	pickup
42	Analisis II	Jueves	11	114	
43	Estadistica II	Jueves	9	6	vietri
44	Cuentas Nacionales	Jueves	11	111	lindenboim
45	Derecho Economico II	Jueves	13	448	
46	Administracion de la Produccion	Jueves	13	436	
47	Teoria y tecnica impositiva I	Jueves	13	440	
48	Administracion Financiera	Jueves	15	438	
49	Contabilidad Patrimonial	Jueves	15	415	
50	Derecho Economico I	Jueves	15	454	
51	Sistemas Contables	Jueves	15	436	
52	Historia del Pensamiento Economico	Jueves	17	434	
53	Administracion de Personal	Jueves	17	436	
54	Algebra	\N	\N	\N	curso CBC
